#   z            H/c (1/Mpc)           D_A(Mpc)        D_L(Mpc)  d_comoving(Mpc)     Omega_m(z)      c*Age(Mpc) 
   0.3621841E-01   0.2286487E-03   0.1542596E+03   0.1656360E+03   0.1598466E+03   0.2812136E+00   0.4036288E+04
   0.4878401E-01   0.2301163E-03   0.2046441E+03   0.2250978E+03   0.2146275E+03   0.2677779E+00   0.3983740E+04
   0.2271100E-01   0.2271001E-03   0.9833671E+02   0.1028541E+03   0.1005700E+03   0.2965066E+00   0.4093869E+04
   0.6922975E-01   0.2325598E-03   0.2833917E+03   0.3239882E+03   0.3030108E+03   0.2474260E+00   0.3900277E+04
   0.5055460E-01   0.2303252E-03   0.2116199E+03   0.2335575E+03   0.2223183E+03   0.2659432E+00   0.3976413E+04
   0.7175466E-01   0.2328663E-03   0.2928475E+03   0.3363817E+03   0.3138607E+03   0.2450351E+00   0.3890141E+04
   0.2923642E-01   0.2278444E-03   0.1255851E+03   0.1330358E+03   0.1292568E+03   0.2890050E+00   0.4065909E+04
   0.5616197E-01   0.2309901E-03   0.2335141E+03   0.2604799E+03   0.2466287E+03   0.2602251E+00   0.3953334E+04
   0.5629498E-01   0.2310060E-03   0.2340298E+03   0.2611209E+03   0.2472045E+03   0.2600911E+00   0.3952789E+04
   0.6204638E-02   0.2252486E-03   0.2741761E+02   0.2775890E+02   0.2758772E+02   0.3164787E+00   0.4165814E+04
   0.6142364E-01   0.2316188E-03   0.2537880E+03   0.2859227E+03   0.2693766E+03   0.2549845E+00   0.3931849E+04
   0.1391375E-01   0.2261077E-03   0.6090029E+02   0.6260678E+02   0.6174764E+02   0.3069686E+00   0.4131994E+04
   0.7509162E-01   0.2332730E-03   0.3052560E+03   0.3528216E+03   0.3281782E+03   0.2419148E+00   0.3876803E+04
   0.2717461E-01   0.2276085E-03   0.1170229E+03   0.1234694E+03   0.1202029E+03   0.2913519E+00   0.4074714E+04
   0.5496529E-01   0.2308478E-03   0.2288667E+03   0.2547176E+03   0.2414464E+03   0.2614337E+00   0.3958243E+04
   0.3100301E-01   0.2280472E-03   0.1328870E+03   0.1412545E+03   0.1370069E+03   0.2870110E+00   0.4058385E+04
   0.6240191E-02   0.2252525E-03   0.2757350E+02   0.2791870E+02   0.2774556E+02   0.3164341E+00   0.4165657E+04
   0.1309194E-01   0.2260156E-03   0.5736136E+02   0.5887313E+02   0.5811233E+02   0.3079669E+00   0.4135581E+04
   0.3593675E-01   0.2286161E-03   0.1531123E+03   0.1643148E+03   0.1586147E+03   0.2815233E+00   0.4037477E+04
   0.3786285E-01   0.2288393E-03   0.1609419E+03   0.1733601E+03   0.1670356E+03   0.2794130E+00   0.4029356E+04
   0.1677859E-01   0.2264295E-03   0.7318104E+02   0.7565740E+02   0.7440892E+02   0.3035167E+00   0.4119524E+04
   0.7976849E-01   0.2338460E-03   0.3224789E+03   0.3759781E+03   0.3482025E+03   0.2376161E+00   0.3858218E+04
   0.3152686E-01   0.2281074E-03   0.1350461E+03   0.1436955E+03   0.1393037E+03   0.2864226E+00   0.4056158E+04
   0.7149113E-01   0.2328342E-03   0.2918633E+03   0.3350863E+03   0.3127289E+03   0.2452834E+00   0.3891198E+04
   0.4187193E-01   0.2293058E-03   0.1771206E+03   0.1922639E+03   0.1845370E+03   0.2750772E+00   0.4012525E+04
   0.4445791E-01   0.2296081E-03   0.1874724E+03   0.2045122E+03   0.1958070E+03   0.2723205E+00   0.4001722E+04
   0.6628653E-01   0.2322038E-03   0.2722958E+03   0.3095913E+03   0.2903454E+03   0.2502460E+00   0.3912139E+04
   0.3275669E-01   0.2282489E-03   0.1401041E+03   0.1494331E+03   0.1446935E+03   0.2850468E+00   0.4050936E+04
   0.4100151E-02   0.2250158E-03   0.1816546E+02   0.1831473E+02   0.1823994E+02   0.3191322E+00   0.4175114E+04
   0.4477487E-01   0.2296452E-03   0.1887367E+03   0.2060164E+03   0.1971873E+03   0.2719848E+00   0.4000400E+04
   0.8869270E-01   0.2349493E-03   0.3548069E+03   0.4205355E+03   0.3862757E+03   0.2296484E+00   0.3823102E+04
   0.9974093E-02   0.2256674E-03   0.4386929E+02   0.4474877E+02   0.4430684E+02   0.3117879E+00   0.4149229E+04
   0.1636741E-01   0.2263832E-03   0.7142376E+02   0.7378093E+02   0.7259278E+02   0.3040095E+00   0.4121311E+04
   0.6561245E-01   0.2321225E-03   0.2697434E+03   0.3063017E+03   0.2874419E+03   0.2508969E+00   0.3914862E+04
   0.3643803E-01   0.2286741E-03   0.1551536E+03   0.1666666E+03   0.1608071E+03   0.2809724E+00   0.4035361E+04
   0.5953543E-01   0.2313927E-03   0.2465424E+03   0.2767722E+03   0.2612204E+03   0.2568514E+00   0.3939540E+04
   0.3534426E-01   0.2285475E-03   0.1506964E+03   0.1615372E+03   0.1560226E+03   0.2821761E+00   0.4039980E+04
   0.3896938E-01   0.2289678E-03   0.1654232E+03   0.1785673E+03   0.1718696E+03   0.2782087E+00   0.4024701E+04
   0.2043256E-01   0.2268418E-03   0.8871885E+02   0.9238139E+02   0.9053160E+02   0.2991772E+00   0.4103696E+04
   0.6629836E-01   0.2322052E-03   0.2723406E+03   0.3096491E+03   0.2903963E+03   0.2502346E+00   0.3912091E+04
   0.6929450E-01   0.2325676E-03   0.2836349E+03   0.3243055E+03   0.3032892E+03   0.2473644E+00   0.3900017E+04
   0.6512425E-01   0.2320636E-03   0.2678921E+03   0.3039209E+03   0.2853384E+03   0.2513695E+00   0.3916837E+04
   0.6554297E-01   0.2321141E-03   0.2694800E+03   0.3059627E+03   0.2871425E+03   0.2509641E+00   0.3915143E+04
   0.3878633E-01   0.2289465E-03   0.1646827E+03   0.1777054E+03   0.1710702E+03   0.2784075E+00   0.4025470E+04
   0.2531532E-01   0.2273963E-03   0.1092642E+03   0.1148664E+03   0.1120303E+03   0.2934867E+00   0.4082678E+04
   0.2719433E-01   0.2276107E-03   0.1171050E+03   0.1235608E+03   0.1202896E+03   0.2913294E+00   0.4074630E+04
   0.4647063E-01   0.2298442E-03   0.1954841E+03   0.2140748E+03   0.2045684E+03   0.2701964E+00   0.3993341E+04
   0.1347587E-02   0.2247124E-03   0.5990845E+01   0.6007002E+01   0.5998918E+01   0.3226406E+00   0.4187322E+04
   0.7981787E-01   0.2338521E-03   0.3226597E+03   0.3762233E+03   0.3484137E+03   0.2375712E+00   0.3858022E+04
   0.5130966E-01   0.2304144E-03   0.2145856E+03   0.2371711E+03   0.2255959E+03   0.2651651E+00   0.3973294E+04
   0.2685813E-01   0.2275723E-03   0.1157047E+03   0.1220034E+03   0.1188123E+03   0.2917141E+00   0.4076068E+04
   0.4662848E-01   0.2298627E-03   0.1961108E+03   0.2148259E+03   0.2052551E+03   0.2700306E+00   0.3992685E+04
   0.7007932E-01   0.2326628E-03   0.2865798E+03   0.3281539E+03   0.3066631E+03   0.2466186E+00   0.3896862E+04
   0.8930436E-01   0.2350254E-03   0.3569972E+03   0.4236072E+03   0.3888786E+03   0.2291133E+00   0.3820712E+04
   0.6557849E-01   0.2321184E-03   0.2696146E+03   0.3061360E+03   0.2872956E+03   0.2509298E+00   0.3915000E+04
   0.7317003E-01   0.2330386E-03   0.2981228E+03   0.3433463E+03   0.3199365E+03   0.2437062E+00   0.3884476E+04
   0.8647936E-01   0.2346745E-03   0.3468540E+03   0.4094394E+03   0.3768497E+03   0.2315963E+00   0.3831769E+04
   0.1253224E-01   0.2259530E-03   0.5494699E+02   0.5633284E+02   0.5563560E+02   0.3086489E+00   0.4138026E+04
   0.2774272E-01   0.2276734E-03   0.1193864E+03   0.1261025E+03   0.1226985E+03   0.2907031E+00   0.4072285E+04
   0.6900801E-01   0.2325329E-03   0.2825585E+03   0.3229016E+03   0.3020573E+03   0.2476372E+00   0.3901169E+04
   0.7691470E-01   0.2334959E-03   0.3119928E+03   0.3618322E+03   0.3359897E+03   0.2402289E+00   0.3869544E+04
   0.6681855E-01   0.2322681E-03   0.2743074E+03   0.3121897E+03   0.2926362E+03   0.2497336E+00   0.3909991E+04
   0.2531491E-01   0.2273963E-03   0.1092625E+03   0.1148645E+03   0.1120285E+03   0.2934872E+00   0.4082680E+04
   0.9610411E-01   0.2358755E-03   0.3811303E+03   0.4579068E+03   0.4177585E+03   0.2232578E+00   0.3794282E+04
   0.4213177E-01   0.2293361E-03   0.1781637E+03   0.1934927E+03   0.1856701E+03   0.2747988E+00   0.4011438E+04
   0.2190169E-01   0.2270082E-03   0.9492662E+02   0.9913026E+02   0.9700567E+02   0.2974521E+00   0.4097356E+04
   0.3544650E-01   0.2285594E-03   0.1511135E+03   0.1620163E+03   0.1564700E+03   0.2820633E+00   0.4039548E+04
   0.2118506E-01   0.2269270E-03   0.9190133E+02   0.9583645E+02   0.9384827E+02   0.2982922E+00   0.4100447E+04
   0.9529360E-01   0.2357737E-03   0.3782744E+03   0.4538038E+03   0.4143216E+03   0.2239469E+00   0.3797419E+04
   0.6940292E-01   0.2325808E-03   0.2840421E+03   0.3248369E+03   0.3037554E+03   0.2472612E+00   0.3899581E+04
   0.2900943E-01   0.2278184E-03   0.1246446E+03   0.1319812E+03   0.1282605E+03   0.2892623E+00   0.4066877E+04
   0.8647961E-01   0.2346745E-03   0.3468549E+03   0.4094407E+03   0.3768508E+03   0.2315960E+00   0.3831768E+04
   0.9781079E-01   0.2360900E-03   0.3871257E+03   0.4665594E+03   0.4249907E+03   0.2218145E+00   0.3787689E+04
   0.1519709E-01   0.2262517E-03   0.6641235E+02   0.6844624E+02   0.6742162E+02   0.3054169E+00   0.4126401E+04
   0.8167647E-01   0.2340808E-03   0.3294493E+03   0.3854636E+03   0.3563575E+03   0.2358870E+00   0.3850672E+04
   0.4143465E-01   0.2292548E-03   0.1753637E+03   0.1901970E+03   0.1826298E+03   0.2755465E+00   0.4014356E+04
   0.4730145E-01   0.2299418E-03   0.1987798E+03   0.2180297E+03   0.2081823E+03   0.2693250E+00   0.3989889E+04
   0.9880938E-01   0.2362157E-03   0.3906222E+03   0.4716302E+03   0.4292193E+03   0.2209749E+00   0.3783839E+04
   0.3041327E-01   0.2279794E-03   0.1304529E+03   0.1385086E+03   0.1344204E+03   0.2876749E+00   0.4060895E+04
   0.5346970E-01   0.2306702E-03   0.2230394E+03   0.2475288E+03   0.2349652E+03   0.2629531E+00   0.3964391E+04
   0.9055684E-01   0.2351814E-03   0.3614722E+03   0.4299040E+03   0.3942060E+03   0.2280220E+00   0.3815824E+04
   0.5906830E-01   0.2313368E-03   0.2447447E+03   0.2745119E+03   0.2592013E+03   0.2573157E+00   0.3941446E+04
   0.8701992E-01   0.2347415E-03   0.3488002E+03   0.4121466E+03   0.3791528E+03   0.2311188E+00   0.3829650E+04
   0.3673508E-01   0.2287085E-03   0.1563620E+03   0.1680609E+03   0.1621060E+03   0.2806465E+00   0.4034108E+04
   0.1328189E-01   0.2260369E-03   0.5817997E+02   0.5973572E+02   0.5895271E+02   0.3077359E+00   0.4134751E+04
   0.6871851E-01   0.2324978E-03   0.2814700E+03   0.3214836E+03   0.3008122E+03   0.2479133E+00   0.3902334E+04
   0.9689531E-01   0.2359749E-03   0.3839128E+03   0.4619159E+03   0.4211121E+03   0.2225874E+00   0.3791224E+04
   0.4130608E-01   0.2292398E-03   0.1748467E+03   0.1895895E+03   0.1820690E+03   0.2756846E+00   0.4014895E+04
   0.7845194E-01   0.2336843E-03   0.3176503E+03   0.3694459E+03   0.3425706E+03   0.2388175E+00   0.3863437E+04
   0.4612340E-01   0.2298034E-03   0.1941048E+03   0.2124232E+03   0.2030575E+03   0.2705615E+00   0.3994785E+04
   0.5711555E-01   0.2311037E-03   0.2372077E+03   0.2650780E+03   0.2507559E+03   0.2592665E+00   0.3949428E+04
   0.1746316E-01   0.2265065E-03   0.7610270E+02   0.7878390E+02   0.7743169E+02   0.3026984E+00   0.4116552E+04
   0.2674472E-01   0.2275594E-03   0.1152321E+03   0.1214783E+03   0.1183140E+03   0.2918440E+00   0.4076554E+04
   0.6606552E-01   0.2321771E-03   0.2714594E+03   0.3085124E+03   0.2893935E+03   0.2504592E+00   0.3913031E+04
   0.4433829E-01   0.2295941E-03   0.1869950E+03   0.2039447E+03   0.1952860E+03   0.2724474E+00   0.4002221E+04
   0.3523226E-01   0.2285346E-03   0.1502393E+03   0.1610124E+03   0.1555326E+03   0.2822997E+00   0.4040453E+04
   0.4342918E-01   0.2294877E-03   0.1833622E+03   0.1996346E+03   0.1913255E+03   0.2734135E+00   0.4006015E+04
   0.8091348E-01   0.2339868E-03   0.3266657E+03   0.3816677E+03   0.3530974E+03   0.2365767E+00   0.3853687E+04
   0.8126199E-01   0.2340297E-03   0.3279378E+03   0.3834011E+03   0.3545867E+03   0.2362614E+00   0.3852310E+04
   0.1318484E-01   0.2260260E-03   0.5776175E+02   0.5929495E+02   0.5852332E+02   0.3078539E+00   0.4135175E+04
   0.6155139E-01   0.2316341E-03   0.2542770E+03   0.2865426E+03   0.2699281E+03   0.2548588E+00   0.3931329E+04
   0.1943348E-01   0.2267289E-03   0.8448436E+02   0.8779992E+02   0.8612618E+02   0.3003567E+00   0.4108015E+04
   0.9132610E-01   0.2352774E-03   0.3642140E+03   0.4337762E+03   0.3974763E+03   0.2273546E+00   0.3812827E+04
   0.9830680E-01   0.2361524E-03   0.3888635E+03   0.4690774E+03   0.4270914E+03   0.2213970E+00   0.3785776E+04
   0.7805817E-01   0.2336360E-03   0.3162031E+03   0.3674942E+03   0.3408853E+03   0.2391781E+00   0.3865000E+04
   0.2183554E-01   0.2270007E-03   0.9464757E+02   0.9882606E+02   0.9671425E+02   0.2975295E+00   0.4097641E+04
   0.3504021E-03   0.2246028E-03   0.1559682E+01   0.1560775E+01   0.1560229E+01   0.3239224E+00   0.4191757E+04
   0.9626144E-01   0.2358952E-03   0.3816840E+03   0.4587037E+03   0.4184255E+03   0.2231243E+00   0.3793674E+04
   0.5919969E-01   0.2313525E-03   0.2452505E+03   0.2751475E+03   0.2597692E+03   0.2571850E+00   0.3940910E+04
   0.5531476E-01   0.2308893E-03   0.2302253E+03   0.2563994E+03   0.2429602E+03   0.2610801E+00   0.3956809E+04
   0.3731131E-01   0.2287753E-03   0.1587037E+03   0.1707675E+03   0.1646251E+03   0.2800155E+00   0.4031679E+04
   0.7765903E-01   0.2335871E-03   0.3147348E+03   0.3655169E+03   0.3391768E+03   0.2395443E+00   0.3866585E+04
   0.2161949E-01   0.2269762E-03   0.9373591E+02   0.9783276E+02   0.9576243E+02   0.2977826E+00   0.4098573E+04
   0.5793164E-01   0.2312011E-03   0.2403619E+03   0.2690177E+03   0.2542865E+03   0.2584492E+00   0.3946089E+04
   0.4960289E-01   0.2302129E-03   0.2078741E+03   0.2290079E+03   0.2181852E+03   0.2669276E+00   0.3980349E+04
   0.7386666E-01   0.2331235E-03   0.3007126E+03   0.3467787E+03   0.3229253E+03   0.2430550E+00   0.3881692E+04
   0.8354217E-01   0.2343110E-03   0.3362342E+03   0.3947604E+03   0.3643240E+03   0.2342098E+00   0.3843314E+04
   0.1294013E-01   0.2259986E-03   0.5670681E+02   0.5818389E+02   0.5744060E+02   0.3081518E+00   0.4136244E+04
   0.7707692E-01   0.2335158E-03   0.3125908E+03   0.3626350E+03   0.3366844E+03   0.2400795E+00   0.3868899E+04
   0.2973125E-02   0.2248914E-03   0.1319068E+02   0.1326923E+02   0.1322990E+02   0.3205635E+00   0.4180106E+04
   0.1677660E-01   0.2264292E-03   0.7317254E+02   0.7564831E+02   0.7440013E+02   0.3035191E+00   0.4119533E+04
   0.7699729E-01   0.2335060E-03   0.3122973E+03   0.3622409E+03   0.3363434E+03   0.2401528E+00   0.3869215E+04
   0.5001778E-01   0.2302618E-03   0.2095081E+03   0.2309905E+03   0.2199872E+03   0.2664979E+00   0.3978632E+04
   0.8167581E-01   0.2340807E-03   0.3294469E+03   0.3854603E+03   0.3563547E+03   0.2358876E+00   0.3850675E+04
   0.8910957E-01   0.2350012E-03   0.3563000E+03   0.4226287E+03   0.3880498E+03   0.2292835E+00   0.3821473E+04
   0.5976317E-01   0.2314199E-03   0.2474180E+03   0.2778747E+03   0.2622045E+03   0.2566255E+00   0.3938611E+04
   0.3891453E-01   0.2289614E-03   0.1652014E+03   0.1783090E+03   0.1716301E+03   0.2782683E+00   0.4024931E+04
   0.2493972E-01   0.2273535E-03   0.1076926E+03   0.1131312E+03   0.1103784E+03   0.2939201E+00   0.4084289E+04
   0.8771681E-01   0.2348280E-03   0.3513056E+03   0.4156394E+03   0.3821210E+03   0.2305049E+00   0.3826920E+04
   0.5918694E-01   0.2313510E-03   0.2452014E+03   0.2750858E+03   0.2597141E+03   0.2571977E+00   0.3940962E+04
   0.5412341E-01   0.2307478E-03   0.2255891E+03   0.2506692E+03   0.2377988E+03   0.2622878E+00   0.3961702E+04
   0.4569293E-01   0.2297529E-03   0.1923931E+03   0.2103768E+03   0.2011841E+03   0.2710149E+00   0.3996577E+04
   0.7266583E-01   0.2329771E-03   0.2962457E+03   0.3408638E+03   0.3177726E+03   0.2441786E+00   0.3886493E+04
   0.2072208E-02   0.2247921E-03   0.9203935E+01   0.9242119E+01   0.9223007E+01   0.3217128E+00   0.4184103E+04
   0.4516066E-01   0.2296904E-03   0.1902742E+03   0.2078481E+03   0.1988671E+03   0.2715768E+00   0.3998793E+04
   0.8982638E-01   0.2350904E-03   0.3588640E+03   0.4262305E+03   0.3910995E+03   0.2286577E+00   0.3818674E+04
   0.3819135E-01   0.2288774E-03   0.1622736E+03   0.1749051E+03   0.1684710E+03   0.2790549E+00   0.4027973E+04
   0.1747395E-01   0.2265078E-03   0.7614874E+02   0.7883323E+02   0.7747936E+02   0.3026855E+00   0.4116505E+04
   0.7759087E-01   0.2335787E-03   0.3144839E+03   0.3651794E+03   0.3388850E+03   0.2396069E+00   0.3866856E+04
   0.1443630E-01   0.2261663E-03   0.6314680E+02   0.6498317E+02   0.6405840E+02   0.3063357E+00   0.4129716E+04
   0.2973372E-01   0.2279015E-03   0.1276438E+03   0.1353473E+03   0.1314391E+03   0.2884421E+00   0.4063789E+04
   0.1214506E-01   0.2259097E-03   0.5327487E+02   0.5457678E+02   0.5392190E+02   0.3091217E+00   0.4139719E+04
   0.7348106E-01   0.2330765E-03   0.2992797E+03   0.3448784E+03   0.3212710E+03   0.2434152E+00   0.3883233E+04
   0.7934547E-01   0.2337940E-03   0.3209291E+03   0.3738781E+03   0.3463933E+03   0.2380014E+00   0.3859894E+04
   0.3468552E-02   0.2249461E-03   0.1537925E+02   0.1548612E+02   0.1543260E+02   0.3199334E+00   0.4177911E+04
   0.6329599E-02   0.2252624E-03   0.2796547E+02   0.2832061E+02   0.2814248E+02   0.3163220E+00   0.4165263E+04
   0.7102779E-01   0.2327779E-03   0.2901313E+03   0.3328098E+03   0.3107387E+03   0.2457207E+00   0.3893055E+04
   0.4653316E-02   0.2250769E-03   0.2060208E+02   0.2079426E+02   0.2069795E+02   0.3184323E+00   0.4172667E+04
   0.2385497E-01   0.2272301E-03   0.1031454E+03   0.1081251E+03   0.1056059E+03   0.2951758E+00   0.4088948E+04
   0.3476205E-01   0.2284803E-03   0.1483190E+03   0.1588100E+03   0.1534749E+03   0.2828191E+00   0.4042441E+04
   0.4520303E-01   0.2296954E-03   0.1904430E+03   0.2080493E+03   0.1990516E+03   0.2715320E+00   0.3998616E+04
   0.8859536E-01   0.2349372E-03   0.3544580E+03   0.4200469E+03   0.3858614E+03   0.2297336E+00   0.3823483E+04
   0.6654549E-01   0.2322351E-03   0.2732752E+03   0.3108559E+03   0.2914605E+03   0.2499965E+00   0.3911093E+04
   0.6519988E-02   0.2252835E-03   0.2879985E+02   0.2917662E+02   0.2898762E+02   0.3160833E+00   0.4164423E+04
   0.4115320E-01   0.2292220E-03   0.1742319E+03   0.1888673E+03   0.1814021E+03   0.2758489E+00   0.4015535E+04
   0.6907280E-01   0.2325408E-03   0.2828020E+03   0.3232191E+03   0.3023359E+03   0.2475755E+00   0.3900908E+04
   0.2343998E-01   0.2271829E-03   0.1014026E+03   0.1062120E+03   0.1037794E+03   0.2956578E+00   0.4090732E+04
   0.9435744E-01   0.2356564E-03   0.3749689E+03   0.4490696E+03   0.4103500E+03   0.2247458E+00   0.3801047E+04
   0.2479392E-01   0.2273369E-03   0.1070821E+03   0.1124579E+03   0.1097371E+03   0.2940886E+00   0.4084915E+04
   0.8963387E-01   0.2350664E-03   0.3581759E+03   0.4252629E+03   0.3902806E+03   0.2288256E+00   0.3819425E+04
   0.8909642E-01   0.2349995E-03   0.3562530E+03   0.4225627E+03   0.3879939E+03   0.2292950E+00   0.3821524E+04
   0.3841218E-01   0.2289030E-03   0.1631681E+03   0.1759442E+03   0.1694358E+03   0.2788144E+00   0.4027044E+04
   0.3776776E-01   0.2288282E-03   0.1605562E+03   0.1729130E+03   0.1666201E+03   0.2795168E+00   0.4029756E+04
   0.3186363E-01   0.2281461E-03   0.1364327E+03   0.1452657E+03   0.1407799E+03   0.2860451E+00   0.4054727E+04
   0.1633741E-01   0.2263798E-03   0.7129549E+02   0.7364408E+02   0.7246027E+02   0.3040455E+00   0.4121441E+04
   0.1718054E-01   0.2264747E-03   0.7489710E+02   0.7749275E+02   0.7618387E+02   0.3030359E+00   0.4117779E+04
